iter	Passed	Remaining
0	1	144
1	2	125
2	3	115
3	4	105
4	5	102
5	6	99
6	7	98
7	8	97
8	9	96
9	10	95
10	11	96
11	12	95
12	13	93
13	15	92
14	15	90
15	16	88
16	17	87
17	18	85
18	19	84
19	20	83
20	21	82
21	22	81
22	23	80
23	24	79
24	25	77
25	26	76
26	27	75
27	28	74
28	29	73
29	30	71
30	31	70
31	32	69
32	33	68
33	34	67
34	35	66
35	36	65
36	37	64
37	38	63
38	40	62
39	41	61
40	42	60
41	42	59
42	43	57
43	44	56
44	45	55
45	46	54
46	47	53
47	49	53
48	50	52
49	51	51
50	52	49
51	53	48
52	53	47
53	54	46
54	55	45
55	56	44
56	57	43
57	58	42
58	59	41
59	60	40
60	61	39
61	62	38
62	63	37
63	64	36
64	65	35
65	66	34
66	67	33
67	68	32
68	69	31
69	70	30
70	71	29
71	72	28
72	74	27
73	75	26
74	75	25
75	77	24
76	78	23
77	79	22
78	80	21
79	81	20
80	82	19
81	83	18
82	84	17
83	85	16
84	86	15
85	87	14
86	88	13
87	89	12
88	90	11
89	91	10
90	92	9
91	93	8
92	94	7
93	95	6
94	96	5
95	97	4
96	98	3
97	99	2
98	100	1
99	101	0
